,Date,Open,High,Low,Close,Change,Trend,Gap
253,2017-05-09,22820.8,22835.35,22664.35,22707.3,-113.5,Bearish,U
254,2017-05-10,22767.75,22859.4,22742.05,22830.35,62.599999999998545,Bullish,U
255,2017-05-11,22916.05,22977.85,22764.65,22818.45,-97.59999999999854,Bearish,U
256,2017-05-12,22840.4,22859.15,22578.0,22671.7,-168.70000000000073,Bearish,U
257,2017-05-15,22735.85,22891.7,22730.35,22821.5,85.65000000000146,Bullish,U
258,2017-05-16,22857.6,22944.1,22727.65,22928.6,71.0,Bullish,U
259,2017-05-17,22972.35,22978.15,22830.1,22935.95,-36.39999999999782,Bearish,U
260,2017-05-18,22750.45,22834.55,22660.2,22698.6,-51.85000000000218,Bearish,D
261,2017-05-19,22761.95,22902.25,22628.45,22769.8,7.849999999998545,Bullish,U
262,2017-05-22,22874.8,22918.35,22637.75,22652.85,-221.95000000000073,Bearish,U
263,2017-05-23,22674.9,22740.4,22492.2,22582.8,-92.10000000000218,Bearish,U
264,2017-05-24,22624.5,22673.4,22469.8,22536.3,-88.20000000000073,Bearish,U
265,2017-05-25,22573.65,23267.8,22570.35,23190.8,617.1499999999978,Bullish,U
266,2017-05-26,23151.4,23408.35,23092.35,23362.2,210.79999999999927,Bullish,D
267,2017-05-29,23310.6,23464.0,23141.15,23182.75,-127.84999999999854,Bearish,D
268,2017-05-30,23142.1,23337.15,23093.95,23307.25,165.15000000000146,Bullish,D
269,2017-05-31,23321.2,23469.45,23248.5,23424.8,103.59999999999854,Bullish,U
270,2017-06-01,23394.1,23396.15,23224.05,23310.15,-83.94999999999709,Bearish,D
271,2017-06-02,23435.2,23453.3,23308.4,23375.9,-59.29999999999927,Bearish,U
272,2017-06-05,23397.4,23494.7,23349.95,23459.65,62.25,Bullish,U
273,2017-06-06,23523.05,23536.1,23381.7,23416.3,-106.75,Bearish,U
274,2017-06-07,23482.85,23606.15,23427.55,23567.65,84.80000000000291,Bullish,U
275,2017-06-08,23630.35,23659.1,23514.2,23536.1,-94.25,Bearish,U
276,2017-06-09,23483.95,23708.65,23476.85,23690.9,206.95000000000073,Bullish,D
277,2017-06-12,23610.15,23630.1,23441.8,23470.45,-139.70000000000073,Bearish,D
278,2017-06-13,23447.0,23615.2,23446.9,23477.85,30.849999999998545,Bullish,D
279,2017-06-14,23555.3,23562.8,23399.4,23498.7,-56.599999999998545,Bearish,U
280,2017-06-15,23444.7,23473.3,23311.85,23391.75,-52.95000000000073,Bearish,D
281,2017-06-16,23448.6,23527.65,23391.0,23502.75,54.150000000001455,Bullish,U
282,2017-06-19,23571.35,23806.65,23535.7,23742.15,170.8000000000029,Bullish,U
283,2017-06-20,23720.6,23760.35,23651.2,23697.95,-22.649999999997817,Bearish,D
284,2017-06-21,23638.15,23760.75,23610.2,23708.75,70.59999999999854,Bullish,D
285,2017-06-22,23716.85,23897.85,23694.15,23736.1,19.25,Bullish,U
286,2017-06-23,23772.3,23786.5,23507.5,23542.75,-229.54999999999927,Bearish,U
